,descr,netname
717,Bundesverband des deutschen Gross-u. Aussenhandels (BGA) e.V.|Bonner Talweg 57|D-53113 Bonn|Germany|,BGA-LAN
718,DGB Bundesvorstand|Hans-Boeckler-Str. 39|D-40476 Duesseldorf|Germany|,DGB-BVV
722,SVG|,SVG-BUNDESZENTRALGENOSSENSCHAFT-STRASSENV-FRANKFURT-NET
726,Bundeszentrale fuer politische Bildung|Adenauerallee 86|53113 Bonn|,VT-CUSTOMER-B-6617596
739,Slowfood Deutschland e.V. Bundespressehaus|,QSC-CUSTOMER-6055588-896521
816,Web-/Mailserver|,Bundesarchitektenkammer-eV
838,Kassenaerztliche Bundesvereinigung|,KBV-NET
839,Bundesnotarkammer|Mohrenstrasse 34|D-10117 Berlin|,BNOTK-NET
841,VT Internet DSL|,DE-Kassenzahnaerztl_Bundesvereinigung_1739909
843,Bundesverband Deutscher Leasing-Unternehmen e.V.|,QSC-CUSTOMER-5916927-924891
844,TSBS GmbH fuer VBL Versorgungsanstalt d. Bundes u. d. Laender|,VERSORGUNGSANSTALT-DES-BUNDES-DER-LAENDER-NET2
845,Bundesverband Wndenergie e.V.|,QSC-CUSTOMER-5961061-672505
846,AOK BUNDESVERBAND|,NET-DE-AOK
855,TSI fuer Deutsche Bundesbank|,E-SHELTER-FRANKFURT-NET
857,This space is statically assigned|Bundesverband der Deutschen Volksbanken und Raifeisenbanken e.V.|Schellingstrasse 4|10785 Berlin|,BVR-NET
858,Bundesverband der Deutschen Volksbanken (BVR)|,QSC-CUSTOMER-5402154-811824
859,Bundespolizei Flughafen Koeln/Bonn Hr. Krauth|,QSC-CUSTOMER-5917498-758138
860,Bundesverb. Gueterkraftverkehrund Logistik BGL e.V.|,BUNDESVERB-GUETERKRAFTVERK-FRANKFURT-NET
862,Horse Media Solutions GmbH Bundeschampionat Warendorf|temporaery from 20100901 to 20100905|,TEMP-HORSE-MEDIA-SOLUTIONS-WARENDORF-NET3
863,Horse Media Solutions GmbH Bundeschampionat Warendorf|temporaery from 20100901 to 20100905|,TEMP-HORSE-MEDIA-SOLUTIONS-WARENDORF-NET8
864,pro familia - Bundesverband|,PRO-FAMILIA-BUNDESVERBAND
866,Bundeszahnaerztekammer|,QSC-CUSTOMER-2290907-826958
869,Bundesverband der Deutschen Volksbanken (BVR)|,QSC-CUSTOMER-5402154-811824
871,Bundesverband der Deutschen Giesserei-Industrie (BDG)|,BUNDESVERBAND-DER-DEUTSCHEN-GIESSEREI-DUESSELDORF-NET
872,BKK Bundesverband GBR.|Kronprinzenstr. 6|D-45128 Essen|GERMANY|,bkkbund-NET
874,Bundesverband der Deutschen Luft- und Raumfahrtindustrie|Friedrichstr. 60|D-10117 Berlin|GERMANY|,BUNDERDE-NET
879,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770763
880,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770715
881,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770910
882,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770681
883,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770697
884,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770756
885,Bundesarbeitsgemeinschaft Hilfe f. Behinderte e.V.|,QSC-CUSTOMER-5853694-774518
887,Bundeslotsenkammer KdoeR|,LOTSBETRIEBSVEREIN-AUSSENSTELLE-KIEL-NET
888,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET6
889,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET12
890,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-3-NET
891,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET5
892,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET7
893,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET8
894,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET10
895,Bundesnotarkammer|Mohrenstrasse 34|D-10117 Berlin|,BNOTK-NET
896,BundesInnungskrankenkasse Gesundheit vCloud Net1|,BIG-NET1
901,Bundesautobahn Tankstelle Weber|,ARAL-TANKSTELLE-HOCKENHEIM-NET
908,VERBRAUCHERZENTRALE BUNDESVERBAND (VZBV)|,VEBU0-NETS
909,VERBRAUCHERZENTRALE BUNDESVERBAND (VZBV)|,VEBU0-NETS
910,VERBRAUCHERZENTRALE BUNDESVERBAND (VZBV)|,VEBU0-NETS
911,Bundesverb. Guterkraftverkehr Logistik und Ents. BGL e.V.|,BUNDESVERB-GUTERKRAFTVERK-FRANKFURT-NET
912,Bundesverband privater Anbieter sozialer Dienste e. V.|Friedrichstrasse 148|10117 Berlin|,BPA
913,Bundesverband mittelstaendischeWirtschaft|,BUNDESVERBAND-MITTELSTAENDISCHEWIRTSCHAFT-BERLIN-NET
924,Bundesverband Deutscher Pathologen e.V.|,QSC-CUSTOMER-6019937-864135
926,BQS Bundesgeschaeftsstelle Qualitaetssicherung gGmbH|Kanzlerstrasse 4|40472|Duesseldorf|,BQS-DUeSSELDORF-NET
927,AOK BUNDESVERBAND|,NET-DE-AOK
928,Bundesverband der Freien Berufe BFB|,QSC-CUSTOMER-5355252-777206
929,KULTURVERANSTALTUNGEN DES BUNDES IN BERLIN GMBH|,NET-DE-KULTURVERANSTALTUNGEN-DES-BUNDES-IN-BERLIN
930,AOK-BUNDESVERBAND|,DE-COLT-MNT
931,Kronenwett GmbH|An der Bundesstr. 3|D-76461 Muggensturm|,TXX-KRONEWETT1-KA
932,Neue Osnabruecker Zeitung GmbH& Co. KG|,NOZ-HAUS-DER-BUNDESPRESSEKONFERENZ-BERLIN-NET
933,Bundesvereinigung der Arbeitgeberverbaende|Breite Str. 29|10178 Berlin|,VT-CUSTOMER-O-1775288
934,Jail Rider|Bundestreffen 2012|D-94363 Reissing|,JAIL-RIDER-EVENT-NET
937,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770772
939,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770751
940,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770809
941,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770735
942,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770775
943,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770689
945,Bundesverband deutscher Banken e. V.|,QSC-CUSTOMER-2392119-770741
949,Bundesverband der Deutschen Giesserei-Industrie (BDG)|,BUNDESVERBAND-DER-DEUTSCHEN-GIESSEREI-DUESSELDORF-NET
950,TSI fuer Deutsche Bundesbank|,BUNDESBANK-FACHHOCHSCHULE-HACHENBURG-NET
952,Bundesnotarkammer IT-Plattform|,BNOTK-ITP
954,NH Berlin City West|Bundesallee 36|D-10717 Berlin|GERMANY|,HOSPITA-NET
955,BRD - Bundesfinanzverwaltung vertreten durch BFD Suedost|,HAUPTZOLLAMT-REGENSBURG-NET
956,BRD - Bundesfinanzverwaltung vertreten durch BFD Suedost|,HZAR-BFINVMT-REGENSBURG-NET
959,VT Internet DSL|,DE-Kassenaerztliche-Bundesvereinigung01
960,Bundesaerztekammer|,BUNDESAERZTEKAMMER-BERLIN-NET
963,BSI Bundesverband der Deutsche Spirituosen-Ind.|,QSC-CUSTOMER-2260010-519540
964,BSI Bundesverband der Deutsche Spirituosen-Ind|,QSC-CUSTOMER-33195-519504
967,Bundesverband Pharmazeut. Industrie eV|Friedrichstr. 148|10117 Berlin|,BPI-2-NET
971,Bundesverband Information und Beratung fuer|,QSC-CUSTOMER-6270091-865960
972,Verbraucherzentrale Bundesverband e.V. Energieprojekte|,VERBRAUCHERZENTRALE-BUNDESVERBAND-EV-ENERGIEPROJEKTE
974,Deutscher Kinderschutzbund Bundesverband e.V.|,DKSB-BERLIN-NET
976,Bundesweite Intensiv-Pflege-Ges. mbH|,BIP-HANNOVER-NET
980,Bundesanzeiger im Haus Dumont Schauberg|Amsterdammer Str. 192|D-50735 Koeln|,BUNDESANZEIGER-1
983,REFA  Bundesverband e.V.|Darmstadt|,REFA-NET1
984,iGZ-Bundesgeschaeftsstelle|,QSC-CUSTOMER-6752371-987028
986,Horse Media Solutions GmbH Bundeschampionat Warendorf|temporaery from 20100901 to 20100905|,TEMP-HORSE-MEDIA-SOLUTIONS-WARENDORF-NET2
987,Horse Media Solutions GmbH Bundeschampionat Warendorf|temporaery from 20100901 to 20100905|,TEMP-HORSE-MEDIA-SOLUTIONS-WARENDORF-NET5
989,radio NRW GmbH im Bundespressehaus|,DE-RNRW-BPRESSE-NET
990,"Bundesverband Oeffentl.Banken Deutschlands VOeB,e.V|",BUNDESVERBAND-OEFFENTL-BANKEN-DEUTSCHLANDS-NET
991,bytech consult GbR|Stefan Drews & Carsten Dohl|Bundesallee 70|12161 Berlin|,DNSNET-BYTECH-NET1
992,DEUTSCHE TELEKOM AG|,DTAG-WAN-BUNDESVERBAND-OEFFENTL-BANKEN-DEUTSCHLANDS-NET
993,Bundesverband pharmaz.-techn. Assistenten e.V.|Bismarckstrasse|66121 Saarbruecken|,VT-CUSTOMER-W-6509925
997,Bundesakademie fuer Kirche und Diakonie gGmbH|Heinrich-Mann-Strasse 29|13156 Berlin|,VT-CUSTOMER-O-1710749
1001,DFL Digital Sports GmbH|http://www.bundesliga.de|,DFL-NET2
1004,Bundesarbeitsgemeinschaft fuerRehabilitation e.V.|,BAR-FRANKFURT-NET
1008,Gemeinsamer Bundesausschuss|Wegelystr. 8|D-10623 Berlin|GERMANY|,GBAUSS-NET
1010,Gemeinsamer Bundesausschuss|Wegelystr. 8|D-10623 Berlin|GERMANY|,GBAUSS-NET
1012,KASSENAERZTLICHE BUNDESVEREINIGUNG|,NET-DE-KASSENAERZTLICHE-BUNDESVEREINIGUNG
1014,Bundesverband der Energie Abnehmer e.V.|,QSC-CUSTOMER-5811005-609347
1016,Bundesvereinigung der dt. Ernaehrungsindustrie e.V.|,QSC-CUSTOMER-5822234-612559
1017,Horse Media Solutions GmbH Bundeschampionat Warendorf|temporaery from 20100901 to 20100905|,TEMP-HORSE-MEDIA-SOLUTIONS-WARENDORF-NET4
1019,Horse Media Solutions GmbH Bundeschampionat Warendorf|temporaery from 20100901 to 20100905|,TEMP-HORSE-MEDIA-SOLUTIONS-WARENDORF-NET6
1021,Bundesverband Pharmazeut. Industrie eV|Robert-Koch-Platz 4|10115 Berlin|,BPI-NET
1024,Bundesnotarkammer|Mohrenstrasse 34|D-10117 Berlin|,BNOTK-NET
1030,Johanniter-Unfall-Hilfe e.V. Bundesgeschäftstelle|Luetzowstr. 94|10785 Berlin|Germany|,JOHAEV-NET
1033,KASSENAERZTLICHE BUNDESVEREINIGUNG|,NET-DE-KASSENAERZTLICHE-BUNDESVEREINIGUNG
1036,BDH Bundesverband Rehabilitation|,QSC-CUSTOMER-2559771-904847
1038,Gemeinsamer Bundesausschuss nach  91 SGB V|,GEMEINSAMER-BUNDESAUSSCHUSS-BERLIN-NET2
1048,Bundesverband Deutscher Inkasso-Unternehmen e.V.|Friedrichstr. 50-55|10117|Berlin|,BVDI-BERLIN-NET
1049,Dt. Bundesbank Dienstgeb. Leopoldstr.|,QSC-CUSTOMER-4973979-535130
1051,BREKO Bundesverband Breitbandkommunikation e.V.|Reuterstr. 159|53113 Bonn|,BREKO-NET
1052,Deutsche Bundesgartenschau GmbH|Duerenstr. 44|D-53173 Bonn|GERMANY|,DEUBUNGM-NET
1054,Johann Heinrich von Thuenen Institut|Bundesallee 50|38116 Braunschweig|,BCC-THUENEN-NET
1056,Deutscher Speditions- und Logisitkverband e.V.|,BUNDESVERBAND-SPEDITION-UND-LOGISTIK-BONN-NET
1061,VT Internet|,DE-vhw-Bundesverband-f-Wohnen-Stadtentwicklung-1752059
1062,DEUTSCHE TELEKOM AG|,DTAG-WAN-BUNDESVEREINIGUNG-LEBENSHILFEE
1069,Dt. Bundesbank Dienstgeb. Ludwigstr.|,QSC-CUSTOMER-4973979-535149
1070,"Dt. Bundesbank Zentr., K 1-31|",QSC-CUSTOMER-4973979-535154
1071,Dt. Bundesbank Dienstgeb. Leopoldstr.|,QSC-CUSTOMER-4973979-535130
1079,Rote Raben BundesligabetriebsGmbH|,ROTE-RABEN-VILSBIBURG-NET
1080,Bundesaerztekammer|,TFG-DMZ
1081,Bundesnotarkammer|Mohrenstrasse 34|D-10117 Berlin|,BNOTK-NET
1085,Joh.Heinr. von Thuenen-InstitutBundesforschungsinst.f. Laendl.|,THUENEN-INSTITUT-F-FISCHEREIOEKOLOGIE-AHRENSBURG-NET
1087,TSI fuer Deutsche Bundesbank|,E-SHELTER-FRANKFURT-NET2
1090,AWO Bundesverband e.V.|D-10961 Berlin|Germany|,AWO-BUND-NET
1091,Bundesverband Erneuerbare Energie e.V. (BEE)|,QSC-CUSTOMER-6052853-854759
1092,Bundeszahnaerztekammer|,QSC-CUSTOMER-2290907-798992
1093,"J.H.v.Thuenen-Inst.Bundesforschungsinst.f.laendl.Raeume,Wald,Fischerei u.IT|",QSC-CUSTOMER-6043081-794962
1094,Impuls Finanzmanagement AG|Bundesallee 39-40a|D-10717 Berlin|GERMANY|,IFM-NET
1095,Bundesverband Erneuerbare Energie e.V. (BEE)|,QSC-CUSTOMER-6052853-854759
1096,KULTURVERANSTALTUNGEN DES BUNDES IN BERLIN GMBH|,NET-DE-KULTURVERANSTALTUNGEN-DES-BUNDES-IN-BERLIN
