BUNDESLIEGENSCHAFT-NET25|,1
Bundesagentur fuer Arbeit|Regensburger Strasse 104|90478 Nuernberg|Germany||,1
Bundesanstalt fuer Arbeit Arbeitsamt Leinefelde||,1
Bundesanstalt fuer Materialforschung und -pruefung|Berlin||,1
Bundesamt fuer Bauwesen und Raumordnung|Am Michaelshof 8|D-53177 Bonn|DE||,1
Bundesanstalt fuer Arbeit Arbeitsamt Geldern||,1
"Bundeswehrfachschule Hamburg|Osdorfer Landstrasse, 22589 Hamburg|Remote connection to SAP||",1
Deutscher Wetterdienst|Frankfurter Strasse 135|D-63067 Offenbach/Main|Germany||,1
BUNDESMINISTERIUM-BERLIN-NET|,1
Bundesanstalt fuer Arbeit Arbeitsamt Kulmbach||,1
Bundesanstalt fuer Arbeit Arbeitsamt Landsberg am Lech||,1
Bundesnetzagentur|Sedanstr. 14b|D-24116 Kiel|GERMANY||,1
Bundesarbeitsgericht|Hugo-Preuss-Platz 1|DE-99084 Erfurt||BUNDESARBEITSGERICHT|,1
Bundesanstalt fuer Arbeit Arbeitsamt Pruem||,1
Bundesanstalt fuer Arbeit Arbeitsamt Merzig||,1
Bundesanstalt fuer Arbeit Arbeitsamt Kirchheimbolanden||,1
Bundesministerium der Finanzen||,1
Bundesministerium fuer Wirtschaft und Arbeit|Villemombler Str. 76|D-53123 Bonn|Germany||,1
Bundesanstalt fuer Arbeit Arbeitsamt Lueneburg||,1
Bundesarbeitsgericht|99084 Erfurt||BUNDESARBEITSGERICHT|,1
"Ministerium fuer Finanzen u. Energie|des Landes Schleswig-Holstein|Duesternbrooker Weg, 24105 Kiel|Remote Connection to SAP||",1
Bundesanstalt fuer Arbeit Arbeitsamt Dortmund||,1
ZOpInfo S4 - Bundeswehr IP Network||DE-KEYWEB-BUNDESWEHR|,1
Bundesanstalt fuer Arbeit Arbeitsamt Kandel||,1
BUNDESLIEGENSCHAFT-BERLIN-NET|,1
Bundesanstalt fuer Arbeit Arbeitsamt Loebau||,1
Bundesanstalt Technisches Hilfswerk|Deutschherrenstr. 93-95|D-53177 Bonn|Germany||,1
ZKA Zollkriminalamt|Moosbuerger Str. 20|D-92637 Weiden|Germany||,1
Bundeswehr Hepenser Groden||BUNDESWEHR-HEPENSER-GRODEN-WILHELMSHAVEN-NET|,1
AMT-FERNMELDESYSTEME-BUNDESWEHR-STRAUSBERG-NET|,1
"Bundesgerichtshof|Herrenstrasse 45a, 76133 Karlsruhe|Remote connection to SAP||",1
Bundesanstalt fuer Arbeit Arbeitsamt Solingen||,1
Bundesanstalt fuer Arbeit Arbeitsamt Herne||,1
"UMWELTBUNDESAMT DESSAU|Dessau, de||",1
ZKA Zollkriminalamt|Bergisch Gladbacher Str. 837|D-51069 Koeln|GERMANY||,1
Bundesanstalt fuer Arbeit Arbeitsamt Biedenkopf||,1
Bundesanstalt fuer Arbeit Arbeitsamt Paderborn||,1
Bundesamt für Familie und zivilgesellschaftliche Aufgaben||,1
BUNDESLIEGENSCHAFT-NET8|,1
BUNDESLIEGENSCHAFT-NET36|,1
Bundesarchiv|Finkensteinallee 63|D-12205 Berlin||,1
