,inet6num,name,inetnum,primary-key
495,,Bundesanstalt f. Landw. u. Ernaehrung||BUNDESANSTALT-F-LANDW-U-ERNAEHRUNG-HAMBURG-NET|,212.185.56.64 - 212.185.56.71,2066613
496,,Bundesanstalt fuer Arbeit Arbeitsamt Gelsenkirchen||,212.185.56.96 - 212.185.56.103,2066633
498,,Bundesanstalt fuer Arbeit Arbeitsamt Grimmen||,217.5.144.56 - 217.5.144.63,2194073
499,,Bundesanstalt fuer Arbeit Arbeitsamt Wolgast||,212.184.74.8 - 212.184.74.15,2190502
500,,Bundesanstalt fuer Arbeit Arbeitsamt Kempten||,217.6.87.208 - 217.6.87.215,2156657
504,,Bundesanstalt fuer Arbeit Arbeitsamt Burgwedel||,217.6.138.224 - 217.6.138.231,2013755
505,,Bundesanstalt fuer Arbeit Arbeitsamt Rothenburg o d Tauber||,217.6.138.232 - 217.6.138.239,2013756
506,,Bundesanstalt fuer Arbeit Arbeitsamt Waldmohr||,212.185.206.184 - 212.185.206.191,2017750
507,,Bundesanstalt fuer Arbeit Arbeitsamt Homberg Efze||,212.184.122.240 - 212.184.122.247,2018938
509,,Bundesanstalt fuer Arbeit Arbeitsamt Herten||,193.158.54.0 - 193.158.54.7,2073466
510,,Bundesanstalt fuer Arbeit Arbeitsamt Zweibruecken||,217.7.28.96 - 217.7.28.103,2079822
511,,Bundesanstalt fuer Arbeit Arbeitsamt Hoexter||,194.25.28.48 - 194.25.28.55,2086531
513,,Bundesanstalt fuer Arbeit Arbeitsamt Warstein||,195.243.250.144 - 195.243.250.151,2072103
514,,Bundesanstalt||BUNDESANSTALT-DETMOLD-NET|,62.159.148.216 - 62.159.148.223,1835171
515,,Bundesanstalt fuer Arbeit Arbeitsamt Ludwigshafen||,62.153.149.136 - 62.153.149.143,1835202
516,,Bundesanstalt fuer Arbeit Arbeitsamt Dueren||,217.237.161.232 - 217.237.161.239,1955852
518,,Bundesanstalt fuer Arbeit Arbeitsamt 1 Nuernberg||,217.6.138.192 - 217.6.138.199,2013753
519,,Bundesanstalt fuer Arbeit Arbeitsamt Landsberg am Lech||,80.154.5.64 - 80.154.5.71,2019340
520,,Bundesanstalt fuer Arbeit Arbeitsamt Spremberg||,212.184.247.200 - 212.184.247.207,2019358
522,,Bundesanstalt fuer Arbeit Arbeitsamt Herne||,217.5.215.32 - 217.5.215.39,1963434
524,,Bundesanstalt fuer Arbeit Arbeitsamt Frechen||,195.243.246.120 - 195.243.246.127,2001403
